Size 1, Size 5, Size 10
273,244,217
221,221,171
187,204,212
204,212,212
221,201,229
212,226,199
197,192,202
178,189,186
197,187,184
178,178,185
196,199,186
220,187,187
190,195,188
199,186,198
188,188,203
180,214,195
196,181,201
196,189,192
226,194,187
199,206,182
181,192,205
187,190,187
206,197,209
184,183,233
186,195,183
186,232,225
176,193,183
202,203,204
196,181,212
199,198,180
189,202,182
209,190,188
184,179,182
175,171,210
177,199,203
195,207,181
189,214,222
184,196,222
182,197,218
187,186,183
176,185,194
183,187,182
195,179,186
191,180,182
206,186,200
349,215,211
169,201,179
189,191,207
207,182,204
168,191,191
195,237,187
207,193,200
183,177,191
218,206,208
201,189,204
211,218,184
199,189,215
236,195,211
183,209,238
214,201,254
205,200,209
199,240,364
194,183,225
193,185,204
187,187,219
184,215,183
174,191,201
204,188,200
202,185,191
177,184,187
188,204,199
195,175,189
177,202,186
216,183,190
191,206,214
196,207,368
199,214,183
178,217,200
158,187,175
192,197,178
182,206,206
209,198,230
192,218,250
207,231,192
236,192,211
192,175,180
187,182,203
183,191,220
192,194,190
184,200,202
205,186,191
207,187,184
180,187,170
189,216,197
207,170,183
200,190,187
202,176,185
278,195,183
180,178,185
187,180,195
