Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
3004,2915,2925,542,465,550
2700,2810,3139,523,519,550
3053,2855,3011,473,465,520
2807,2955,2867,495,434,476
2701,2944,2869,356,356,375
2882,2897,3004,477,470,456
2519,2852,2602,504,450,510
2871,2747,3120,520,492,442
2729,2662,2749,383,413,399
2788,2764,2939,417,417,387
2786,2877,2763,370,417,402
2699,2725,3068,478,502,453
2627,2997,3071,441,490,528
2971,2772,2815,394,448,472
3114,3048,2765,475,475,439
2776,2996,2872,377,420,440
2688,2849,2887,371,416,437
3061,2995,2906,451,481,534
2869,2971,2681,392,416,450
2918,2866,2951,489,404,391
2772,3068,3083,420,425,417
2805,2852,2788,392,413,459
2752,2745,3041,454,486,482
2690,2841,3118,447,461,489
2822,2982,2970,442,487,490
2878,2704,2994,564,487,488
2946,2755,2789,390,445,429
2758,2956,2675,469,535,501
2862,2755,2812,406,426,475
2910,2785,3017,520,441,528
2990,2981,2848,517,501,474
2700,2979,2704,415,411,436
2841,2792,2966,512,480,407
2610,2787,2929,387,461,476
2725,2763,2758,458,396,423
2985,2784,2856,549,503,513
2685,2954,2692,443,426,473
3021,2816,2630,413,436,388
2677,2679,2955,395,392,489
2926,2961,2963,458,438,430
3052,3088,2791,524,514,595
2929,2886,2727,412,412,430
2972,2992,2719,409,408,433
2882,2952,2930,423,435,495
2804,3105,3173,477,492,445
2996,2971,2868,442,469,547
2819,2953,3028,469,503,550
3005,2990,2968,429,459,525
2861,2689,2781,403,470,473
2690,2809,2745,402,387,468
2806,2810,2791,462,432,492
2829,2820,2828,476,484,455
2781,2804,2910,472,478,470
2801,2735,2957,488,517,507
3121,3026,3075,510,584,496
3096,2683,2782,466,477,534
3017,2718,2813,391,407,474
2800,3028,2769,408,391,431
2987,3040,3062,459,550,511
2815,3030,2776,427,420,432
2654,2817,2919,469,490,563
2708,2983,2799,449,427,457
2968,2886,2852,367,458,428
2753,2929,2960,485,441,434
2857,3106,2895,471,455,480
2814,2882,2905,493,576,523
2755,2986,2933,404,471,553
2917,2937,2881,412,486,559
2805,2999,2779,396,519,563
2858,2940,2655,391,389,427
2814,2948,2919,600,508,500
2805,2781,2835,473,556,480
2824,2942,2665,384,533,461
2706,2982,2865,495,504,663
2785,2818,3146,509,509,467
3027,2635,2793,436,405,434
2963,3014,2742,473,505,470
2873,2774,2924,478,464,432
2860,2943,2850,502,418,489
2939,2793,2834,461,478,495
2927,2963,3053,503,449,453
2784,2857,2811,429,450,496
2829,2958,2835,445,468,460
2874,2986,2922,456,494,488
2906,2856,2883,477,512,479
2867,2926,2788,423,435,450
2794,2815,2928,419,544,493
2816,2755,2852,488,456,508
2925,2900,2927,455,472,469
2848,2833,2858,485,501,510
3073,2791,2826,487,555,501
2848,2862,2874,540,488,452
2836,2800,2882,487,419,479
2978,3160,2939,539,435,517
2780,2830,2833,443,529,440
2845,2860,2887,514,509,450
2960,2843,3002,498,531,529
2830,2880,2774,475,523,520
2895,2861,2802,452,515,465
2790,2833,2942,492,552,514
