Multiplication times two,Division by two,Relinearization
11166,7077,3691
9920,6205,3502
9881,6294,3400
10462,6262,3388
9965,6303,3652
10616,7249,3404
10740,6403,3511
9906,6127,3449
10884,6792,3613
11643,7230,3792
11168,7311,4067
10068,6417,3527
10227,6568,3486
10363,6482,3223
10706,7592,3787
10506,6391,6391
10436,6478,3533
10251,6505,3813
10523,6705,3484
12857,6692,3554
11444,7317,3773
11066,6628,3605
10912,7915,4132
10577,6925,4408
10115,6988,3699
9890,6505,3735
10552,7265,3765
10616,6362,3846
10535,7572,3561
10239,6575,3934
10103,6869,3851
10528,6729,3608
10873,6422,3753
10815,6717,3857
10352,8105,3611
10596,7182,3684
13299,7362,4256
12280,7496,4280
10387,7005,3852
10378,6823,3893
10436,6338,3756
10408,6798,3775
11789,6615,3725
10415,6303,3954
10251,6812,3571
10534,6715,3771
10145,6631,3659
10844,6507,3663
10954,6632,3911
11134,7145,3521
10731,6617,3918
10675,7427,3509
10349,6295,3743
13486,6336,3348
11252,6596,3528
11357,6372,3634
11749,7141,3828
10663,7074,3488
10250,7558,3639
10422,6361,3864
10646,6906,3806
10739,6762,3952
11174,7225,3885
10593,6601,4000
10354,7089,3317
10376,6876,4096
10478,6340,3794
10462,7128,3891
11853,7266,3437
11551,7026,4110
11256,7540,4105
10561,6739,3370
10165,7180,3829
11056,6696,3943
10865,7163,3579
13331,6797,3781
11193,7398,3596
10571,9291,3655
10331,6200,3453
10505,6356,3827
10000,7023,3753
10803,6556,3615
10331,6917,3700
10544,6656,3660
10953,6651,3512
10381,6887,4275
11052,6948,3857
10709,6756,3775
10701,6447,3692
10672,6517,3711
10179,7060,3940
9941,6580,3919
10814,6709,3884
10089,6866,3595
10891,6443,3330
11103,6882,4108
11965,7163,3708
10936,6721,3593
10466,6724,3498
10026,6215,3762
