Size 1, Size 5, Size 10
508,294,445
244,248,359
380,264,287
269,250,331
361,511,269
340,300,370
290,298,376
309,399,421
271,268,273
370,220,232
393,286,253
363,250,410
253,407,329
230,256,293
225,412,344
462,235,252
300,304,254
249,330,264
252,234,252
315,401,252
234,377,381
369,380,261
271,413,254
239,233,243
320,249,374
241,319,237
236,255,385
254,323,242
389,277,405
397,497,350
258,517,350
357,355,425
449,262,427
384,237,258
340,351,253
425,333,257
378,256,370
254,369,446
349,271,420
289,261,445
258,254,377
389,228,383
250,233,368
367,260,260
270,243,228
246,216,232
243,330,368
245,271,353
286,259,498
252,332,281
247,240,247
269,455,375
260,397,275
510,264,356
324,318,342
402,242,405
243,248,366
386,312,256
310,370,262
266,468,317
374,264,461
378,245,352
442,453,249
383,257,296
244,240,246
332,393,452
551,243,252
335,379,356
374,254,294
273,313,388
483,269,338
386,360,287
424,243,357
283,377,262
405,261,622
268,317,294
375,432,241
461,243,270
380,193,226
235,269,202
236,217,367
422,227,395
369,430,433
383,357,279
426,350,260
256,345,386
369,261,243
232,283,426
286,319,342
233,264,244
269,384,295
244,356,379
446,450,352
251,238,424
369,258,403
224,239,340
254,258,344
320,268,403
263,241,344
246,237,468
