Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
23258,23311,23950,6724,5471,5464
22383,23270,22459,5529,6477,5277
21754,22640,22194,4956,5295,5258
21663,22534,21967,5062,5471,5197
22287,22175,21748,5171,5248,5207
21629,21799,22633,4989,5381,5354
21706,21739,21797,5083,5358,5409
22209,21910,21628,5021,5224,5416
21662,21628,21969,5100,5232,5324
21499,21626,21821,4932,5327,5289
22009,21692,21685,5365,5288,5307
21641,21568,22079,5156,5303,5280
21839,22312,22399,4941,5417,6726
23681,23031,24296,6237,5282,7030
24927,24047,22668,5656,5616,5566
23277,22002,22120,4978,5474,5614
21997,21856,22217,5049,5352,5248
21606,21688,21867,5069,5474,5458
22171,21677,21638,5051,5314,5414
21588,21504,21943,4980,5324,5388
21540,21594,21615,5085,5222,5281
22498,21701,22058,5000,5394,5279
21665,21554,21806,5102,5333,5204
22445,21910,22019,4971,5336,5328
21539,21664,21586,4960,5362,5403
22165,23667,21566,4968,5424,5239
21654,21671,22048,5465,5293,5788
21599,21563,21636,4936,5259,5419
21509,21622,21638,4936,5298,5307
21520,21556,21576,5026,5504,5474
21806,22019,21807,5007,5211,5331
21639,21651,21610,4963,5206,5318
21598,21730,21505,4987,5278,5158
21590,21686,23080,5591,5434,5280
21797,21688,21470,5158,5257,5258
21560,21614,21941,5025,5547,5585
21911,21852,21920,5276,5393,5262
21657,21650,21743,4917,5149,5396
21556,21679,21687,5009,5304,5326
21681,21527,21798,4954,5288,5249
21591,21667,21690,5025,5203,5459
21562,21602,21674,4960,5116,5252
21521,21736,21487,4993,5528,5231
21574,21594,21690,4965,5181,5375
21547,21783,21734,4896,5215,5263
21556,21544,21446,4969,5331,5221
21651,21511,21524,5079,5188,5314
21619,21663,21656,4946,5205,5301
21491,21607,21623,5189,5766,5608
21641,21600,21612,4929,5267,5278
21539,21728,21473,4957,5341,5386
21735,21658,21629,4987,5327,5138
21650,21595,21620,5102,5261,5303
21569,21624,21595,4882,5373,5423
21683,21601,21551,4904,5294,5254
21549,21640,21888,5049,5222,5322
21669,21596,21531,5047,5335,5352
21538,21622,21512,5048,5387,5223
21577,21557,21532,5133,5215,5270
21628,21665,21584,4958,5303,5323
21641,21630,21580,5024,5246,5208
21561,21593,21525,4980,5147,5354
21956,21608,21695,4951,5173,5337
21571,21622,21598,5008,5313,5220
21660,21654,21572,5001,5227,5247
21590,21563,21556,5002,5294,5265
21637,21516,21537,5029,5323,5303
21798,21647,21721,5073,5483,5230
21552,21539,21671,4922,5313,5169
21657,21604,21488,5025,5362,5327
21675,21578,21598,4850,5324,5306
21572,21590,21611,5063,5346,5200
21522,21577,21645,4891,5327,5241
21646,21623,21591,5088,5280,5352
21586,21648,21499,4998,5320,5407
21990,21828,23672,14923,12076,9167
22541,21815,22458,5027,5263,5549
21882,21591,21811,5035,5257,5226
21835,21660,21678,5010,5379,5232
21654,21606,21720,5085,5319,5252
21562,21767,21672,5066,5246,5210
21557,21687,22587,5771,5355,5338
21682,21714,21625,5010,5216,5276
21638,21575,21677,4986,5254,5325
21528,21788,21744,5104,5232,5287
21610,21534,21606,4956,5226,5247
21511,21672,21555,4872,5374,5267
21628,21603,21541,4964,5505,5803
21699,21586,21526,5123,5193,5400
21533,21710,21572,4948,5216,5318
21627,21603,21571,4894,5301,5241
21561,21576,21659,4948,5247,5290
21597,21577,21610,4892,5247,5362
21572,21761,21569,5012,5275,5287
21464,21636,21762,4911,5244,5263
21580,21687,21623,5037,5337,5259
21585,21646,21535,5061,5276,5310
21727,21894,21696,5038,5367,5239
21601,21751,21770,4893,5370,5385
21565,21602,21582,4944,5307,5376
