Multiplication times two,Division by two,Relinearization
3637,1568,1842
3433,1603,1825
3557,1614,1751
3614,1687,2084
3712,1781,2051
3851,1679,2100
3780,1698,1996
3619,1633,1848
3732,1637,1906
3382,1726,1848
3572,1642,1759
3568,1550,1862
3544,1605,1913
3436,1579,1936
3635,1689,1862
3450,1531,1673
3397,1668,1797
3512,1538,1816
3371,1539,2013
3494,1615,1829
3494,1609,1931
3463,1583,1803
3520,1576,1741
3572,1724,2067
3336,1600,1929
3367,1597,1936
3423,1739,1712
3520,1542,1984
3466,1616,1782
3375,1524,1838
3356,1566,1862
3455,1565,2026
3271,1582,1828
3388,1674,2021
3886,1651,2028
3681,1760,1926
3716,1656,2119
3766,1513,1946
3521,1650,1986
3424,1533,1876
3693,1620,1853
3519,1530,1829
3575,1584,1833
3491,1522,1771
3417,1600,1900
3390,1687,1895
3523,1494,1951
3401,1573,1887
3364,1547,1866
3417,1582,1869
3569,1565,1887
3465,1557,1936
3447,1456,1870
3413,1605,1908
3384,1557,1815
3599,1523,1910
3454,1688,2008
3709,1588,1904
3721,1738,1726
3512,1618,1923
3540,1596,1924
3372,1635,1978
3460,1586,1833
3630,1690,2202
3580,1708,1981
3635,1684,1953
3555,1673,1994
3438,1698,1945
3853,1584,1910
3430,1625,1755
3635,1497,2009
3428,1625,1867
3545,1577,2048
3477,1571,1813
3519,1608,1758
3569,1549,1980
3407,1596,1758
3531,1603,1907
3431,1611,1892
3439,1597,1794
3419,1424,1891
3544,1577,1789
3291,1591,1913
3316,1582,1877
3493,1520,1916
3906,1582,2076
3867,1752,1895
3739,1989,2034
3747,1722,1919
3674,1734,1970
3580,1595,1864
3497,1713,1986
3416,1553,1780
3516,1609,1871
3474,1556,1887
3560,1532,1916
3451,1547,1890
3434,1521,1911
3386,1597,1833
3580,1575,1882
