NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
2,405775,397846,399162,399733,397561,397078,1196299,1191015,3572274
0,411404,397252,395009,395174,395579,397966,1194964,1188969,3572159
1,395529,398265,396100,396063,397160,397236,1186192,1187066,3559977
1,395929,394305,395429,394136,395042,394944,1184081,1181369,3541467
1,393963,393800,394020,393986,392992,393765,1180976,1183081,3538571
1,393624,393677,392836,394565,394055,395141,1182608,1179637,3541604
1,395478,400745,398014,398536,398337,395689,1191861,1190511,3554859
1,394818,394322,393855,395310,394041,395532,1191341,1200447,3538377
1,397219,393930,395223,396474,396536,396168,1182698,1185163,3548683
1,395290,395979,395594,394556,393332,395844,1184011,1185627,3553848
1,394787,401506,400411,404884,403972,400173,1190198,1192928,3560820
1,395129,394864,395490,393763,394598,394626,1182588,1182805,3534607
1,392378,392685,394085,393445,395298,393734,1186270,1188285,3550239
1,395151,395685,393596,392681,394909,393470,1182003,1180778,3548006
1,394862,395687,394673,394613,395745,395532,1184285,1186538,3559219
6,395109,395632,396570,396229,395485,395975,1187700,1189406,3554063
0,394374,396523,394737,395584,393993,395084,1184013,1184178,3547818
1,396437,397971,396553,395789,396184,396319,1187154,1191912,3566615
1,395472,396406,396068,395269,395939,394907,1184502,1186239,3562262
1,395769,396438,397077,395498,395600,396544,1187114,1187011,3556007
1,395003,396181,394356,396735,394344,396061,1185747,1185563,3555993
1,395226,395810,395927,396317,397661,396602,1190327,1187765,3578175
1,396888,397627,398086,396905,397577,398133,1194027,1194995,3630822
1,398727,396104,396650,397205,395943,397714,1192074,1193055,3572280
1,399191,399029,396545,398974,396941,396988,1197489,1194098,3565063
1,397825,396240,396035,395067,397746,396025,1191046,1191431,3580857
1,397721,397364,399401,397856,397972,397885,1192129,1192015,3580341
1,396977,397060,395998,395939,396183,397207,1191941,1192646,3579408
1,397631,397909,398287,399529,398196,398141,1192374,1193378,3581797
1,398469,399780,399093,396741,397648,399190,1192779,1193165,3578234
0,397795,397538,397292,396788,396419,395356,1189276,1192129,3579540
1,397365,399034,397411,398664,399176,398256,1195954,1197647,3586106
1,398533,398805,398688,397395,399203,402080,1213399,1196710,3612738
0,400672,400679,399307,400483,403973,413087,1221489,1202818,3613854
1,400600,400957,400931,401805,399060,399474,1206413,1211653,3595714
1,397726,400394,399132,399254,399079,398516,1199686,1196692,3607966
1,403354,401296,401554,400206,398139,400471,1202070,1193544,3572022
1,396859,397811,397588,396911,397472,396700,1187966,1190763,3577409
1,397248,398975,398189,399787,398906,401565,1204546,1207646,3610064
1,403540,401271,400326,407131,404896,403522,1198104,1197797,3604386
1,400481,398142,397247,397664,398962,398720,1196841,1198829,3595459
0,399613,398106,398821,400261,399055,398687,1203471,1192481,3590849
1,399068,397156,399160,399531,397767,398797,1196574,1197244,3589636
1,398210,398957,401352,400766,399262,397513,1193762,1196158,3579825
1,398741,407640,401228,400783,400179,401003,1204556,1204632,3606611
1,398935,401532,403325,402070,402182,401626,1204609,1205397,3604545
1,399941,400816,401009,402250,401462,402356,1202488,1195807,3595676
1,400573,401577,400243,402374,400629,402290,1205799,1202841,3603123
1,400972,401086,400543,400261,400871,400856,1202682,1204379,3613456
1,402265,401912,401829,403004,401308,401034,1203859,1205987,3610102
1,401440,401545,401165,400352,408062,399952,1193903,1185891,3532097
1,396015,398900,401646,401566,401516,394428,1198912,1216390,3685240
1,526365,397670,394823,402302,394351,393945,1204709,1205238,3575681
1,392939,392445,392884,392451,392883,394612,1175751,1181073,3542084
1,391384,391027,392731,391468,390711,391910,1173314,1174389,3518391
1,391516,389402,390815,392180,392108,392702,1169132,1169092,3515117
1,392804,390522,389313,388652,388375,389822,1171216,1173899,3494842
1,390982,390822,390469,390091,390873,389317,1171165,1165376,3497004
1,387989,387714,389350,387000,388279,386526,1161333,1160635,3471338
1,385236,385381,389047,389205,390592,390165,1159873,1160535,3470363
0,386638,385481,384857,386248,385319,385562,1158171,1156827,3472171
1,385630,386258,385544,385225,386094,385454,1156581,1156963,3467107
1,385348,385624,386028,386063,386985,386063,1158983,1157717,3470063
1,385953,385989,386192,385039,385863,386439,1170166,1158411,3512191
1,391401,388758,388892,387831,398610,399382,1194065,1195060,3573508
1,400907,400462,401130,386201,385144,385998,1155171,1155972,3466089
1,385316,386946,386968,384835,386137,385599,1156059,1155664,3467825
1,385220,385639,386898,385275,385305,386102,1156503,1155852,3465938
1,385632,385618,385277,385839,385945,385873,1158381,1156992,3467724
1,385062,386481,386272,385667,386208,385898,1156454,1175726,3467102
0,385604,386451,385265,384843,386154,385150,1155716,1155510,3466659
1,385402,384785,385820,385123,385246,386081,1157294,1156724,3468699
1,386455,385084,385478,385789,385320,385440,1157159,1156117,3468701
1,386058,386475,385394,385558,385732,385761,1154988,1155253,3467523
1,388644,384754,385913,385430,385407,384918,1155207,1155020,3465645
1,385762,385043,385416,385231,385073,385787,1170378,1177066,3486946
1,386302,386708,395014,393778,390969,396753,1193417,1155762,3468805
1,385221,391465,390946,390203,392900,389287,1186915,1170590,3595408
0,403791,405970,403005,404157,391662,394133,1180377,1175079,3599383
1,401641,387696,392147,393438,391313,404362,1167335,1163129,3539015
1,392646,388893,398422,397176,400164,403880,1198318,1184065,3553655
1,389188,395263,398751,392892,389178,390913,1177278,1179219,3493933
1,392372,387916,386762,395041,395172,388193,1169835,1177481,3477374
1,387724,386186,390436,394527,388897,391380,1164771,1183481,3479960
1,386249,386918,386157,385346,385615,386056,1157212,1157896,3471208
1,386681,385451,385323,386286,388144,388008,1158283,1157433,3471104
1,385471,386078,385862,387795,386887,387587,1173653,1183401,3540567
1,387168,388892,386418,385762,386482,385818,1169284,1169387,3470782
1,387020,386150,386371,385189,385340,385805,1156995,1156141,3469863
1,385760,385637,384844,386150,385287,386367,1158473,1156625,3468543
1,384894,386092,385244,385751,385008,385328,1178185,1158320,3466062
1,385152,386045,385459,385299,385754,385484,1156264,1156209,3471264
0,385147,385716,385905,385078,385549,385851,1155403,1156226,3467318
1,386102,385247,385101,386080,385873,385420,1157363,1155681,3467065
1,385402,385739,385193,384796,386132,387330,1156087,1156430,3471755
1,384936,385743,385624,385198,388627,386135,1155696,1155590,3466926
1,385999,388132,385659,385207,385083,385640,1156807,1155333,3510098
1,386323,385951,385542,389578,388498,389999,1171069,1171243,3470765
1,385990,385327,384649,389620,386087,385420,1162971,1163422,3505484
1,394688,388494,387429,386419,386230,385909,1156345,1179643,3596772
