Size 1, Size 4, Size 8
479,586,639
758,668,780
452,446,870
781,557,744
661,569,449
475,534,417
400,417,434
459,376,414
425,437,461
396,396,394
411,392,412
403,408,406
418,390,442
427,420,357
394,443,459
399,438,439
445,391,411
415,396,423
659,424,472
392,392,405
422,410,421
691,556,716
641,492,597
895,452,568
629,870,439
626,400,406
401,387,441
430,431,392
412,431,412
422,419,432
423,417,421
407,411,368
407,385,352
404,414,426
375,430,422
404,419,391
358,436,401
432,464,467
371,437,408
401,416,359
382,411,448
403,485,451
429,474,484
473,491,428
410,400,453
421,473,461
415,376,380
453,384,379
423,441,404
365,379,388
404,455,420
393,395,456
389,392,452
428,395,373
378,421,427
414,459,406
421,446,406
413,433,375
466,404,400
387,402,441
635,518,438
476,440,657
610,452,451
472,424,486
399,425,500
450,486,462
513,429,477
485,484,508
479,664,448
436,399,368
475,424,402
453,422,414
392,417,441
440,437,381
407,442,383
440,465,440
398,381,417
397,391,379
365,380,390
419,429,387
453,414,476
411,412,438
420,440,406
391,396,421
419,394,412
413,398,377
395,383,400
415,396,434
424,381,373
382,424,435
368,388,366
372,445,428
416,448,432
423,410,493
453,472,469
406,386,430
426,432,358
398,427,384
470,405,371
413,367,419
