Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
7604,6685,6356,16150,14786,17055
6504,6455,6517,15400,16428,16321
6446,6126,6149,16490,17257,16520
6268,5979,6075,17441,16844,16251
6126,6368,6214,15730,16415,16019
6005,6145,6045,15533,16974,16563
5952,6032,5984,15516,16598,18217
5913,5977,5933,15937,16179,18166
6126,6372,6121,16761,18131,17677
6009,6194,5972,16039,16921,15874
6107,6429,5983,16771,18387,16114
6339,6300,6300,17016,17091,17323
6325,6044,6357,16457,17668,16545
6242,6394,6024,15918,17311,16293
6338,6057,6114,16806,18241,14701
6126,6367,6216,16251,16262,17703
6045,6197,6132,16458,16915,17059
6493,6390,6466,16868,15934,16188
6222,6433,6362,16211,16970,17277
6113,6096,6130,16482,16683,16735
6517,6444,6062,16182,16740,17584
6170,5909,6127,15798,17856,17837
6582,6229,6354,15451,16979,17401
5981,6281,6131,15996,16899,17217
6187,6130,5938,16683,16550,18223
6216,5989,6538,16218,16114,16614
6388,6361,6295,17089,17291,18337
6459,6005,6311,17435,16988,16369
6062,6077,6067,16163,17427,16858
6321,6440,6137,16437,16336,16536
6413,6447,6394,15807,17153,18619
6046,6389,6001,16076,17163,17203
6086,6514,6096,17083,17940,17432
6067,6160,6412,15649,17677,16994
6013,6240,6230,16840,18422,17134
5900,6465,6362,16969,17601,16323
5906,6142,6282,15012,17798,17371
6379,6327,6152,16507,17448,16982
6179,6021,6120,15871,18191,17833
6199,6228,6156,17128,16414,17756
6069,6242,6104,15819,16671,16146
6358,6527,6308,16761,18357,17267
6149,6019,6463,16757,17474,17593
6038,6288,6141,16039,18252,17147
7371,6421,6287,16856,18125,16195
6425,5967,5954,17433,17455,17166
6053,6087,5894,16100,16209,17898
6174,6729,6070,16859,17921,16441
6055,6335,5968,17265,18184,16935
6264,6169,6297,17345,17254,17121
6022,6218,5866,16900,17954,16986
6152,6050,6441,15995,17612,17212
6238,6295,6306,16974,16662,18411
6173,5982,6075,17581,17245,18037
6200,6113,6179,16450,17004,16735
6198,6093,6165,16202,17032,17094
5998,6040,5917,16142,16770,16998
6023,6076,5957,17021,18070,16960
6256,6151,6095,16240,17278,18597
6300,6386,6292,16641,18422,17192
6065,5942,5886,16683,18270,17178
6255,6312,5877,17103,17562,17011
6308,6348,6278,15841,17440,16817
6108,6426,6492,16403,15989,17441
5918,6055,6546,16840,16598,17020
6589,6175,6150,16464,17216,18951
6061,6308,6587,16385,16530,17793
6297,6486,6160,15923,17004,17289
5930,6026,6481,16337,18077,17299
6048,6001,6413,17111,19672,17130
5989,6416,5950,17243,17406,16324
6466,5975,6073,17129,17028,16875
6564,6352,6283,17430,17345,17144
7188,6166,6177,16614,16949,16258
6267,6066,6253,16575,17484,17698
6175,5944,6078,15862,17683,16198
6035,5938,6273,15918,17067,16879
6015,6040,6160,15896,16229,17850
6284,6151,6330,16361,16431,17879
6484,6056,6083,16148,17714,17567
6548,6194,5973,16544,17543,16739
6287,6359,6251,16202,16873,16408
6029,6384,6104,15992,16600,18055
6304,6017,6478,16688,18019,17290
6888,6291,6280,17725,17113,17984
6202,6163,6253,15787,16691,16944
6136,6257,5966,16447,15829,16747
6002,6512,6238,16220,17023,19452
6109,6459,6350,15668,17641,16128
6151,6243,6228,16408,17139,17161
6109,6544,6102,16961,16499,16981
5878,5964,6205,15558,17403,16986
6175,6088,5908,16545,17259,17508
6295,5905,5932,16969,17467,17974
6171,6505,6152,16469,18296,16608
6479,6241,5998,15980,16408,16305
6079,6325,5973,16841,16333,16212
6210,6241,6191,15878,18098,17717
5987,6206,6195,15576,16324,18363
6291,6470,6097,16560,17083,17176
