Mult,MultNoRelin,Relin
18472,5733,12118
17620,5705,11133
17966,5899,12740
17631,6449,11951
16748,5985,11029
16357,5649,10951
18630,5730,11329
16217,5750,12372
16657,5780,11079
17028,6412,11585
16265,5901,12293
16499,6505,14139
17061,6314,13439
21720,5466,10894
16949,5773,10875
17040,5647,11372
16902,5613,10831
16914,5744,11151
17052,5700,11424
17541,5650,11336
17053,5456,13308
17264,5916,12092
18732,5997,11623
16325,5530,11862
17224,5506,11950
17231,5753,11655
17050,6074,11823
16648,5880,12623
16460,5706,12069
17185,5531,11033
18226,5867,10994
16769,5868,11886
18568,5502,11827
16789,5995,11396
17318,5612,10941
16295,5895,10923
16883,6474,11251
16430,6111,11017
16379,5675,11072
16851,5849,10825
17231,5973,11864
17494,5835,11068
18208,5489,11245
17929,5638,11265
17404,5679,10887
17256,5714,11003
16693,5724,11592
16785,5636,11322
16683,5772,11870
17323,5793,10993
16804,5793,11040
16877,5698,11771
17729,5657,11696
16776,5651,11247
17611,5766,12074
17513,5791,11011
16493,5761,11103
16578,5700,11974
16218,5551,11391
16195,5534,10955
16613,5907,11256
16133,5691,13157
17131,5698,10947
16456,5872,12584
17313,6397,11565
19189,6471,12284
18960,5539,12689
16342,5406,12181
17460,5531,11288
17980,5565,10965
17050,5577,11041
17592,5784,11944
16597,5743,11102
16796,5835,11469
17085,5687,10957
17427,6580,11705
16547,5713,11212
17034,5730,11455
17256,5749,11097
16489,5793,11843
16169,5761,11683
16959,6692,11512
17531,5636,10915
17909,5449,11201
16249,5431,11322
17185,6916,13389
17049,5611,10711
16743,5531,11010
16402,5548,11829
16909,5608,10812
17188,5544,11131
17131,5742,12207
16385,5519,10797
16425,5704,11025
16446,5428,11048
17321,5676,10584
16679,5506,10884
16735,5792,11379
17612,5688,10786
16859,5735,11233
