NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
7,874491,564579,585912,562325,848640,583553,2440196,1620474,4590131
1,593722,577464,546465,549332,817418,534504,2480315,1635769,4638896
1,567819,554744,547248,546548,869039,561791,2535590,1592431,4851006
0,592009,535687,570384,574877,791501,538970,2578770,1599792,4817293
1,584604,534977,545696,579782,828467,570633,2676690,1657684,4716957
1,553842,526343,533254,553560,769729,528017,2583744,1566052,3726218
4,523087,526688,531126,521890,515080,519649,1737483,1570960,4233628
1,559096,522676,532719,557423,733258,541890,2454034,1571791,3738452
1,533851,529564,523075,522905,515797,517038,1576903,1568186,3699875
1,529335,525583,521693,523158,517135,515682,1565097,1601899,4182963
1,568358,536029,564146,549601,692514,540737,2308446,1575336,4641397
1,546323,523374,534876,536849,551000,518742,1660478,1559867,3639697
1,520546,521030,523286,519639,513473,512529,1586664,1565270,3663921
1,519415,522949,520161,520207,517205,532613,1571051,1573039,4330530
4,527102,526521,539564,528324,553118,517116,1583738,1558321,3679241
1,525809,529688,523808,521252,513618,513060,1633627,1559333,3932355
1,789284,536852,533883,528011,554018,612765,2511160,1607715,4279604
0,529006,529133,524880,526321,552753,544974,1580158,1566848,4090749
1,526879,521856,525781,523787,538707,518231,2028334,1582051,4088973
1,531153,523737,524157,525186,545765,518161,1567972,1559597,3663845
1,522473,528125,525522,520136,513473,522469,1598557,1568026,3643018
1,526315,522221,527454,533187,515976,514375,1588073,1557485,3647764
1,522257,520187,519052,520078,513699,515011,1570521,1579341,3628978
1,522839,519445,520991,519402,515591,511982,1560954,1606615,4754588
1,559847,520722,545454,530661,709012,536815,1704524,1564657,3651654
1,521823,519090,529404,520481,520294,518666,1604106,1562824,3684979
0,527035,523306,524614,525360,516603,515027,1562072,1558795,3662343
1,626278,661874,535151,531686,582799,527921,1629995,1611442,4342060
11,577928,526586,521602,539460,564301,517815,1867858,1590818,3857111
1,533313,522161,533807,538634,754378,529869,1601174,1563439,3684331
1,524083,520435,519914,520405,511982,514080,1562836,1562351,3644906
1,519568,522696,520056,522900,513133,513086,1561494,1570501,3669078
0,524915,522713,523872,524713,521402,516373,1573896,1562066,3636387
1,519480,522624,519840,518995,513054,513119,1557126,1556499,3626619
1,518817,520695,519751,528156,523652,518960,1587717,1556170,3638010
0,519647,519927,518884,520234,512424,513172,1577893,1559372,3631360
1,535300,528724,529195,523759,541996,512735,1628156,1559280,3810206
1,523428,519366,519182,519469,521345,518526,1558852,1559028,3633270
1,519637,521581,522354,519286,513523,512151,1558844,1564148,3628014
1,519070,519825,522910,520026,512518,512639,1575165,1558815,3709639
1,552128,521906,519995,529370,523952,518220,1609934,1556273,3692368
1,519424,521066,519264,520138,513511,512945,1558745,1558452,3622772
1,519682,519608,520304,522259,512794,512772,1562392,1556713,3635621
1,519387,519404,519854,519651,512223,513491,1568128,1582686,3638601
1,519265,522454,519802,535085,514284,512510,1577414,1561778,3926880
1,566808,520764,533689,544058,654012,516794,1660046,1557076,3655456
1,520143,522797,521726,529957,518241,515578,1568195,1558031,3673745
1,523803,522390,519833,534956,514564,512748,1565449,1565138,3643823
1,522137,522446,520342,519263,516497,517776,1571585,1556955,3640850
1,519729,519554,519110,519538,512494,512935,1557527,1572398,3626210
1,519453,523002,522715,520903,513207,512525,1575041,1573401,3633446
0,519826,519208,522929,519014,514207,512929,1559478,1555701,3625774
1,521657,521538,519182,519592,513352,527808,1559350,1573262,3667094
1,523052,519010,523166,522727,533078,512137,1555392,1555425,3627272
1,519186,519493,519011,520263,513024,513345,1559367,1556734,3628806
1,521132,521938,519912,519015,518300,514675,1571076,1559435,3626180
1,521687,519097,519730,519162,513065,514574,1561103,1555436,3709171
1,521477,519913,527190,524130,529692,517201,1593459,1560685,3640324
1,519830,523988,520718,518820,513751,512263,1575869,1556849,3632967
1,519641,520205,519212,519537,513906,521755,1557161,1557833,3637378
1,520183,518921,519423,518999,512851,512313,1555792,1560383,3626886
1,519171,519853,521204,520520,514120,513067,1556629,1555574,3628412
1,519302,520139,519412,519604,512102,516763,1559314,1555349,4341172
1,528616,521536,527199,528363,567661,517483,1606801,1592548,3799793
4,528180,529777,522493,525000,521962,592993,1737673,1572289,3713476
2,521409,522452,522760,527444,521138,517133,1567815,1564579,3661139
1,520166,522156,524743,534153,523225,521585,1564693,1564655,3656397
1,522780,519450,522752,524598,513035,513292,1557984,1560423,3632498
1,519915,522983,519963,519994,513520,516407,1559391,1572166,3645069
1,528107,526680,524242,523807,535036,512623,1561201,1566621,3645125
1,520016,521053,519903,519529,522788,513854,1584891,1581489,3655159
1,519933,520185,519705,520640,518799,514101,1562941,1557414,3632058
1,523430,519294,520081,519510,513874,512560,1557718,1561882,3629879
1,519500,522110,519512,522135,513034,517273,1556520,1560231,3639354
1,521405,524061,520138,519458,513327,514788,1558187,1560362,3625009
1,519581,519984,522844,520289,512710,514957,1555925,1559632,3657680
1,523614,520895,520498,520100,512879,515600,1565659,1559705,3639578
1,520401,519905,520720,520247,513333,513882,1560415,1560354,3628965
1,520087,519782,519680,520618,524079,516246,1577644,1560177,3650283
1,520289,520780,532547,520080,516230,513027,1570827,1555789,3644615
1,528479,520803,519897,520215,512514,512907,1582243,1557760,3630425
1,529326,521178,522206,522131,515785,513619,1574315,1556412,3626210
1,520480,519345,519676,519826,512954,512761,1557386,1591760,3684678
1,519371,522636,519651,520130,512400,514047,1556738,1555880,3626920
1,520233,519620,520385,519473,514338,512729,1560123,1561190,3639202
1,525430,520119,519151,519602,515549,513830,1556661,1559291,3623412
1,522059,519386,519960,519237,516239,512880,1557395,1558858,3633044
1,521769,520756,523461,519816,513229,512343,1559194,1556006,3624249
1,519500,522888,520946,520232,512432,513142,1556077,1567708,3641959
1,520152,519800,520721,522634,534720,515439,1558496,1556597,3627785
1,519340,520244,519524,520557,512757,512908,1560122,1556692,3625113
1,520243,522427,519946,519180,512306,513255,1556059,1557280,3628542
1,519813,519891,520312,519946,512872,521256,1579563,1556771,3641968
1,519929,520307,527903,557426,569710,523640,1608691,1568873,3890165
3,536486,523634,524378,523066,516916,522101,1611375,1601251,3664853
1,521856,525596,521467,525444,513831,517251,1570241,1565593,3654468
1,524013,522245,522565,522520,513880,515371,1571004,1566786,3655383
1,523606,523303,525613,527087,514592,515461,1582924,1604135,3956263
1,535298,525009,528063,527261,563596,521767,1609111,1596644,3730316
1,525057,528028,526506,524360,522686,517986,1580084,1578481,3757017
